	score	rank	university	country	city
0	92.4	#2	Fudan University	China	Shanghai
1	87.9	#9	Tsinghua University	China	Beijing
2	82.2	#17	Peking University	China	Beijing
3	80.8	#18	Shanghai Jiao Tong University	China	Shanghai
4	77.5	#23	Zhejiang University	China	Hangzhou, Zhejiang
5	72.7	#28	Harbin Institute of Technology	China	Harbin, Heilongjiang
6	68.5	#42	Jilin University	China	Changchun, Jilin
7	68.4	#43	University of Science and Technology of China	China	Hefei, Anhui
8	65.6	#49	University of Science and Technology Beijing	China	Beijing
9	65.3	#50	Central South University	China	Changsha, Hunan
10	63.3	#56	Nanjing University	China	Nanjing, Jiangsu
11	62.4	#58	Xi'an Jiaotong University	China	Xi'an, Shaanxi
12	61.0	#65	Nankai University	China	Nankai, Tianjin
13	59.4	#70	Dalian University of Technology	China	Dalian City, Liaoning
14	58.7	#75	Xiamen University	China	Xiamen, Fujian
15	58.6	#76	Huazhong University of Science and Technology	China	Wuhan, Hubei
16	58.4	#77	Wuhan University	China	Wuhan, Hubei
17	58.1	#78	Sichuan University	China	Chengdu, Sichuan
18	56.8	#89	Sun Yat-sen University	China	Guangzhou, Guangdong
19	55.7	#92	Beihang University	China	Beijing
