	score	rank	university	country	city
0	100.0	#1	Massachusetts Institute of Technology	United States	Cambridge, Massachusetts
1	92.4	#2	Fudan University	China	Shanghai
2	92.1	#3	University of California--Berkeley	United States	Berkeley, California
3	91.7	#4	National University of Singapore	Singapore	
4	90.8	#5	Harvard University	United States	Cambridge, Massachusetts
5	90.4	#6	Stanford University	United States	Stanford, California
6	90.1	#7	Nanyang Technological University	Singapore	
7	88.4	#8	University of Cambridge	United Kingdom	Cambridge
8	87.9	#9	Tsinghua University	China	Beijing
9	87.7	#10	University of California--Santa Barbara	United States	Santa Barbara, California
10	86.4	#11	Northwestern University	United States	Evanston, Illinois
11	84.6	#12	Tohoku University	Japan	Aoba-ku, Sendai, Miyagi
12	84.3	#13	Georgia Institute of Technology	United States	Atlanta, Georgia
13	83.8	#14	Seoul National University	South Korea	Seoul
14	83.5	#15	University of California--Los Angeles	United States	Los Angeles, California
15	83.0	#16	Imperial College London	United Kingdom	London
16	82.2	#17	Peking University	China	Beijing
17	80.8	#18	Shanghai Jiao Tong University	China	Shanghai
18	78.3	#19	University of Illinois--Urbana-Champaign	United States	Champaign, Illinois
19	78.1	#20	National Taiwan University	Taiwan	Taipei
